3275	0	-4.74412E-5
3275.08	0	-4.71518E-5
3275.15	0.00161724	-4.68597E-5
3275.23	0.00625331	-4.6565E-5
3275.3	0.00689648	-4.62676E-5
3275.38	-0.00252419	-4.59675E-5
3275.45	-0.00584585	-4.56647E-5
3275.53	0.00127284	-4.53591E-5
3275.6	0	-4.50507E-5
3275.68	-0.00417645	-4.47394E-5
3275.75	-0.00251207	-4.44253E-5
3275.83	-0.00131935	-4.41083E-5
3275.9	-0.00180216	-4.37884E-5
3275.98	-0.00316705	-4.34654E-5
3276.05	-0.00178094	-4.31395E-5
3276.13	-2.82904E-4	-4.28106E-5
3276.2	-0.0037386	-4.24785E-5
3276.28	-0.00425093	-4.21434E-5
3276.35	-0.00372402	-4.18051E-5
3276.43	-0.00665543	-4.14636E-5
3276.5	-0.00560583	-4.11188E-5
3276.58	-7.74391E-4	-4.07709E-5
3276.65	0.0016529	-4.04196E-5
3276.73	0	-4.0065E-5
3276.8	-0.00170235	-3.9707E-5
3276.88	-0.00138032	-3.93455E-5
3276.95	3.29002E-4	-3.89806E-5
3277.03	0.00236607	-3.86122E-5
3277.1	0.00140665	-3.82403E-5
3277.18	-0.00470303	-3.78647E-5
3277.25	-0.00627742	-3.74855E-5
3277.33	4.64591E-4	-3.71027E-5
3277.4	0.00608383	-3.67161E-5
3277.48	0.00828482	-3.63257E-5
3277.55	0.00755095	-3.59315E-5
3277.63	0.00484658	-3.55335E-5
3277.7	0.0030313	-3.51315E-5
3277.78	0.0015092	-3.47256E-5
3277.85	0.00228759	-3.43157E-5
3277.93	0.00602466	-3.39017E-5
3278	0.0041081	-3.34835E-5
3278.08	-3.48248E-4	-3.30613E-5
3278.15	-0.00193999	-3.26348E-5
3278.23	0	-3.2204E-5
3278.3	0.00548953	-3.17689E-5
3278.38	0.00941992	-3.13294E-5
3278.45	0.00776358	-3.08855E-5
3278.53	0.00140754	-3.04371E-5
3278.6	-0.00104693	-2.99842E-5
3278.68	0.00113776	-2.95266E-5
3278.75	0.00398896	-2.90644E-5
3278.83	0.00669159	-2.85974E-5
3278.9	0.00828519	-2.81257E-5
3278.98	0.00727999	-2.76491E-5
3279.05	0.00168113	-2.71676E-5
3279.13	-0.0025427	-2.66811E-5
3279.2	0.00148919	-2.61896E-5
3279.28	0.00403444	-2.56929E-5
3279.35	0.00304642	-2.51911E-5
3279.43	0.00837872	-2.46841E-5
3279.5	0.0110326	-2.41717E-5
3279.58	0.00244249	-2.3654E-5
3279.65	-0.00774372	-2.31308E-5
3279.73	-0.00990241	-2.2602E-5
3279.8	-0.00590106	-2.20677E-5
3279.88	-9.63421E-5	-2.15277E-5
3279.95	0.0053437	-2.09819E-5
3280.03	0.00645567	-2.04303E-5
3280.1	0.00487872	-1.98728E-5
3280.18	0.00151571	-1.93094E-5
3280.25	-0.00123511	-1.87398E-5
3280.33	0.00251752	-1.81641E-5
3280.4	0.00473912	-1.75822E-5
3280.48	0.0027894	-1.69939E-5
3280.55	0.00310758	-1.63993E-5
3280.63	0.00273164	-1.57981E-5
3280.7	-0.00154277	-1.51904E-5
3280.78	-0.00563899	-1.45759E-5
3280.85	-0.00521553	-1.39548E-5
3280.93	0	-1.33267E-5
3281	0.0064605	-1.26917E-5
3281.08	0.00497213	-1.20497E-5
3281.15	-0.00354219	-1.14005E-5
3281.23	-0.00565765	-1.0744E-5
3281.3	-4.13579E-4	-1.00802E-5
3281.38	0.0026439	-9.4089E-6
3281.45	0.00285944	-8.73006E-6
3281.53	0.00147763	-8.04355E-6
3281.6	-0.00174489	-7.34925E-6
3281.68	-0.00194809	-6.64706E-6
3281.75	9.11025E-5	-5.93687E-6
3281.83	6.89741E-4	-5.21855E-6
3281.9	0.00360825	-4.492E-6
3281.98	0.00738107	-3.75709E-6
3282.05	0.00232008	-3.0137E-6
3282.13	-0.00458285	-2.26171E-6
3282.2	-0.00125407	-1.50099E-6
3282.28	0.00621506	-7.31421E-7
3282.35	0.00883715	4.71337E-8
3282.43	0.00454958	8.34805E-7
3282.5	2.5655E-6	1.63173E-6
3282.58	-0.0033554	2.43803E-6
3282.65	-0.00937911	3.25387E-6
3282.73	-0.0132941	4.07937E-6
3282.8	-0.0101044	4.91469E-6
3282.88	-0.00264746	5.75996E-6
3282.95	0.00189715	6.61534E-6
3283.03	-7.29649E-5	7.48099E-6
3283.1	-0.00424695	8.35704E-6
3283.18	-0.00214784	9.24368E-6
3283.25	0.00269037	1.0141E-5
3283.33	0.0058925	1.10493E-5
3283.4	0.00724778	1.19686E-5
3283.48	0.0052998	1.28992E-5
3283.55	0.00494194	1.38412E-5
3283.63	0.00476691	1.47947E-5
3283.7	0.00357733	1.576E-5
3283.78	0.00417645	1.67373E-5
3283.85	0.00349398	1.77266E-5
3283.93	1.43157E-4	1.87283E-5
3284	-0.00184368	1.97425E-5
3284.08	-5.15567E-4	2.07694E-5
3284.15	5.13433E-4	2.18093E-5
3284.23	-0.00309626	2.28622E-5
3284.3	-0.00733523	2.39284E-5
3284.38	-0.00732201	2.50082E-5
3284.45	-0.00546621	2.61018E-5
3284.53	-0.00331254	2.72092E-5
3284.6	-0.00405601	2.83309E-5
3284.68	-0.00511592	2.9467E-5
3284.75	0	3.06178E-5
3284.83	0.0031236	3.17834E-5
3284.9	0.002571	3.29642E-5
3284.98	0.00650766	3.41603E-5
3285.05	0.00730566	3.53721E-5
3285.13	2.54702E-4	3.65998E-5
3285.2	-0.00303233	3.78436E-5
3285.28	-5.52222E-4	3.91038E-5
3285.35	-0.00268602	4.03807E-5
